title,url,price,log_price,brand,cpu_family,ram_gb,storage_gb,outlier_flag
"Lenovo IdeaPad Slim 3 15IRH8 Core i5 13th Gen 8GB RAM 15.6"" FHD Military Grade Laptop With FreeDOS",https://www.startech.com.bd/lenovo-ideapad-slim-3-15irh8-core-i5-13th-gen-8gb-ram-laptop,66000,11.097410021008562,Lenovo,Intel,8,512,FALSE
"ASUS Vivobook Go 15 L1504FA Ryzen 5 7520U 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-go-15-l1504fa-ryzen-5-7520u-laptop,59500,10.993731591533722,ASUS,AMD,8,512,FALSE
"Lenovo IdeaPad Slim 5 14IRH10 Core i5 13th Gen 1TB SSD 14"" WUXGA OLED Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-5-14irh10-laptop,100000,11.512925464970229,Lenovo,Intel,16,1024,FALSE
"Lenovo IdeaPad Slim 5 14IRH10 Core i5 13th Gen 14"" WUXGA OLED Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-5-14irh10-core-i5-laptop,95500,11.466881526468821,Lenovo,Intel,16,512,FALSE
"ASUS Vivobook Go 15 L1504FA Ryzen 5 7520U 15.6"" FHD Laptop Cool Silver",https://www.startech.com.bd/asus-vivobook-go-15-l1504fa-ryzen-5-laptop-cool-silver,59500,10.993731591533722,ASUS,AMD,8,512,FALSE
"ASUS Vivobook Go 15 L1504FA Ryzen 5 7520U 8GB RAM 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-go-15-l1504fa-ryzen-5-laptop,59500,10.993731591533722,ASUS,AMD,8,512,FALSE
"Chuwi CoreBook Plus Ryzen 5 7430U 16"" WUXGA IPS Laptop",https://www.startech.com.bd/chuwi-corebook-plus-laptop,59900,11.00043178410354,Chuwi,AMD,16,512,FALSE
"Lenovo IdeaPad Slim 3i 15ITL6 Core i7 11th Gen 15.6"" FHD Laptop with Fingerprint",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i7-11th-gen-fhd-laptop,78000,11.26446410567173,Lenovo,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 14IRH10 Core i7 13th Gen 14"" WUXGA IPS Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-14irh10-core-i7-laptop,90000,11.407564949312402,Lenovo,Intel,16,512,FALSE
"HP 15-fd0180TU Intel Core i3 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fd0180tu-core-i3-laptop,61500,11.02679245379461,HP,Intel,16,512,FALSE
"Lenovo IdeaPad Slim 3 15IRH10 Core i7 13th Gen 15.3"" WUXGA Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15irh10-core-i7-laptop,90000,11.407564949312402,Lenovo,Intel,16,512,FALSE
"HP 15-fd0176TU Intel Core i3 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fd0176tu-core-i3-13th-gen-laptop,61000,11.018629143155449,HP,Intel,16,512,FALSE
"Lenovo LOQ 15IRX9 Core i5 13th Gen RTX 3050 6GB Graphics 15.6"" FHD Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15irx9-core-i5-13th-gen-gaming-laptop,124000,11.728036844587175,Lenovo,Intel,16,512,FALSE
"Lenovo LOQ 15IRX9 Core i5 13th Gen RTX 4050 AI Integrated 15.6"" FHD Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15irx9-core-i5-gaming-laptop,131000,11.782952602183288,Lenovo,Intel,16,512,FALSE
"Asus VivoBook Go 15 OLED E1504FA Ryzen 3 7320U 15.6"" FHD Laptop",https://www.startech.com.bd/asus-vivobook-go-15-oled-e1504fa-ryzen-3-laptop,63500,11.058795184880783,ASUS,AMD,8,512,FALSE
"Lenovo LOQ 15IRX9 Core i5 13th Gen RTX 3050 AI Integrated 15.6"" FHD Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15irx9-core-i5-13th-gen-laptop,129000,11.76756768334381,Lenovo,Intel,4,512,FALSE
"Lenovo LOQ 15IRX9 Core i5 13th Gen AI Integrated 15.6"" FHD Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15irx9-core-i5-laptop,134000,11.805595078933049,Lenovo,Intel,4,512,FALSE
"ASUS ExpertBook P1 P1503CVA Core i3 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/asus-expertbook-p1-p1503cva-core-i3-13th-gen-laptop,63500,11.058795184880783,ASUS,Intel,8,512,FALSE
"Lenovo ThinkPad E14 Gen 6 Core Ultra 5 125U 14"" WUXGA Laptop",https://www.startech.com.bd/lenovo-thinkpad-e14-gen-6-laptop,93800,11.448920134994315,Lenovo,Intel,8,512,FALSE
"Lenovo LOQ 15IRX9 Core i7 13th Gen RTX 4050 AI Integrated 15.6"" FHD Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15irx9-core-i7-gaming-laptop,143500,11.874090314181814,Lenovo,Intel,16,512,FALSE
"Dell PRO 14 PC14250 Core Ultra 7 225U 14"" FHD+ Laptop",https://www.startech.com.bd/dell-pro-14-pc14250-core-ultra-7-laptop,150000,11.918390573078392,Dell,Intel,16,512,FALSE
"Dell 15 DC15250 Core i5 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/dell-15-dc15250-core-i5-laptop,73500,11.205040685200927,Dell,Intel,8,512,FALSE
"Dell 15 DC15250 Core 3 100U 15.6"" FHD Laptop",https://www.startech.com.bd/dell-15-dc15250-laptop,59000,10.985292722887856,Dell,Intel,8,512,FALSE
"Dell Vostro 3400 Core i5 11th Gen 14"" FHD Laptop",https://www.startech.com.bd/dell-vostro-3400-core-i5-laptop,65000,11.082142548877775,Dell,Intel,4,1024,FALSE
"Dell PRO 14 PC14250 Core Ultra 5 225U 14"" FHD+ Laptop",https://www.startech.com.bd/dell-pro-14-pc14250-laptop,97000,11.48246625748552,Dell,Intel,8,512,FALSE
"HP 15-fc0229AU Ryzen 5 7520U 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fc0229au-ryzen-5-fhd-laptop,59500,10.993731591533722,HP,AMD,8,512,FALSE
"Lenovo LOQ 15IRX9 Core i7 13th Gen 512GB SSD RTX 4050 6GB Graphics 15.6"" FHD AI Powered Gaming Laptop",https://www.startech.com.bd/lenovo-loq-15irx9-core-i7-13th-gen-512gb-ssd-laptop,140500,11.852962767755937,Lenovo,Intel,16,512,FALSE
"Lenovo Legion 5 15IRX10 Core i7 14th Gen RTX 5050 8GB Graphics 15.1"" WQXGA 165Hz Gaming Laptop",https://www.startech.com.bd/lenovo-legion-5-15irx10-gaming-laptop,187000,12.138863895836725,Lenovo,Intel,4,512,FALSE
"Lenovo IdeaPad 5 2-in-1 14IAL10 Core Ultra 5 225H 14"" WUXGA Touch Laptop",https://www.startech.com.bd/lenovo-ideapad-5-2-in-1-14ial10-core-ultra-5-225h-laptop,127000,11.751942365440728,Lenovo,Intel,16,512,FALSE
"Lenovo Yoga 7 2-in-1 14IML9 Core Ultra 5 125H 14"" 2.8K OLED Touch Laptop",https://www.startech.com.bd/lenovo-yoga-7-2-in-1-14iml9-laptop,143000,11.870599909242044,Lenovo,Intel,16,512,FALSE
